ID,Raw Text,Task,Person,Deadline,Category
1,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
2,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work
3,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household
4,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household
5,Noah should prepare a presentation for the conference.,Prepare presentation,Noah,Not mentioned,Work
6,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings
7,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work
8,John must submit the report by Monday.,Submit report,John,Monday,Work
9,Noah should prepare a presentation for the conference.,Prepare presentation,Noah,Not mentioned,Work
10,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
11,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping
12,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
13,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
14,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household
15,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings
16,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
17,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings
18,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping
19,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping
20,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work
21,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping
22,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work
23,James is responsible for arranging the conference call.,Arrange conference call,James,Not mentioned,Meetings
24,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
25,Sarah has to book flight tickets by tomorrow evening.,Book flight tickets,Sarah,Tomorrow evening,Personal
26,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household
27,Elijah is required to complete the coding assignment by tonight.,Complete coding assignment,Elijah,Tonight,Work
28,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
29,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
30,John must submit the report by Monday.,Submit report,John,Monday,Work
31,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings
32,Elijah is required to complete the coding assignment by tonight.,Complete coding assignment,Elijah,Tonight,Work
33,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work
34,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping
35,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings
36,Noah should prepare a presentation for the conference.,Prepare presentation,Noah,Not mentioned,Work
37,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping
38,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work
39,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household
40,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work
41,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
42,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings
43,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work
44,Alice should clean the room before 5 PM today.,Clean the room,Alice,5 PM today,Household
45,Sarah has to book flight tickets by tomorrow evening.,Book flight tickets,Sarah,Tomorrow evening,Personal
46,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
47,Lucas needs to repair the broken chair before Saturday.,Repair broken chair,Lucas,Before Saturday,Household
48,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping
49,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
50,Lucas needs to repair the broken chair before Saturday.,Repair broken chair,Lucas,Before Saturday,Household
51,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
52,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
53,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work
54,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work
55,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
56,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household
57,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping
58,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings
59,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings
60,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping
61,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household
62,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
63,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work
64,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work
65,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
66,Sophia must order groceries before 7 PM.,Order groceries,Sophia,Before 7 PM,Shopping
67,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings
68,Sophia must order groceries before 7 PM.,Order groceries,Sophia,Before 7 PM,Shopping
69,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings
70,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings
71,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
72,Sarah has to book flight tickets by tomorrow evening.,Book flight tickets,Sarah,Tomorrow evening,Personal
73,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work
74,James is responsible for arranging the conference call.,Arrange conference call,James,Not mentioned,Meetings
75,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping
76,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping
77,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings
78,James is responsible for arranging the conference call.,Arrange conference call,James,Not mentioned,Meetings
79,James is responsible for arranging the conference call.,Arrange conference call,James,Not mentioned,Meetings
80,John must submit the report by Monday.,Submit report,John,Monday,Work
81,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work
82,Sophia must order groceries before 7 PM.,Order groceries,Sophia,Before 7 PM,Shopping
83,Alice should clean the room before 5 PM today.,Clean the room,Alice,5 PM today,Household
84,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work
85,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work
86,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
87,Sophia must order groceries before 7 PM.,Order groceries,Sophia,Before 7 PM,Shopping
88,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work
89,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping
90,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work
91,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household
92,Alice should clean the room before 5 PM today.,Clean the room,Alice,5 PM today,Household
93,Noah should prepare a presentation for the conference.,Prepare presentation,Noah,Not mentioned,Work
94,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household
95,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping
96,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household
97,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping
98,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings
99,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work
100,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household
